Games,Event,Team,Pos,Medal,As,athlete_id,NOC,Discipline,Nationality
2024 Summer Olympics,"Rugby Sevens, Men",United States,8,,Naima Fuala'au,153634,USA,Rugby Sevens ( Rugby ),
2024 Summer Olympics,"Rugby Sevens, Men",United States,8,,Malacchi Esdale,153632,USA,Rugby Sevens ( Rugby ),
2024 Summer Olympics,"Rugby Sevens, Men",United States,8,,Steve Tomasin,147435,USA,Rugby Sevens ( Rugby ),
2024 Summer Olympics,"Rugby Sevens, Men",United States,8,,Madison Hughes,136321,USA,Rugby Sevens ( Rugby ),
2024 Summer Olympics,"Rugby Sevens, Men",United States,8,,Perry Baker,136324,USA,Rugby Sevens ( Rugby ),
2024 Summer Olympics,"Rugby Sevens, Men",United States,8,,Lucas Lacamp,153631,USA,Rugby Sevens ( Rugby ),
2024 Summer Olympics,"Rugby Sevens, Men",United States,8,,Pita Vi,153636,USA,Rugby Sevens ( Rugby ),
2024 Summer Olympics,"Rugby Sevens, Men",United States,8,,Adam Channel,153630,USA,Rugby Sevens ( Rugby ),
2024 Summer Olympics,"Rugby Sevens, Women",United States,3,Bronze,Ariana Ramsey,147200,USA,Rugby Sevens ( Rugby ),
2024 Summer Olympics,"Rugby Sevens, Women",United States,3,Bronze,Ilona Maher,147202,USA,Rugby Sevens ( Rugby ),
2024 Summer Olympics,"Rugby Sevens, Women",United States,3,Bronze,Kayla Canett,147204,USA,Rugby Sevens ( Rugby ),
2024 Summer Olympics,"Rugby Sevens, Women",United States,3,Bronze,Sammy Sullivan,153625,USA,Rugby Sevens ( Rugby ),
2024 Summer Olympics,"Rugby Sevens, Women",United States,3,Bronze,Alev Kelter,132117,USA,Rugby Sevens ( Rugby ),
2024 Summer Olympics,"Rugby Sevens, Women",United States,3,Bronze,Lauren Doyle,132124,USA,Rugby Sevens ( Rugby ),
2024 Summer Olympics,"Rugby Sevens, Women",United States,3,Bronze,Naya Tapper,147207,USA,Rugby Sevens ( Rugby ),
2024 Summer Olympics,"Rugby Sevens, Women",United States,3,Bronze,Alex Sedrick,153627,USA,Rugby Sevens ( Rugby ),
2024 Summer Olympics,"Rugby Sevens, Women",United States,3,Bronze,Alena Olsen,153624,USA,Rugby Sevens ( Rugby ),
2024 Summer Olympics,"Rugby Sevens, Women",United States,3,Bronze,Steph Rovetti,153628,USA,Rugby Sevens ( Rugby ),
2024 Summer Olympics,"Rugby Sevens, Women",United States,3,Bronze,Sarah Levy,153626,USA,Rugby Sevens ( Rugby ),
2024 Summer Olympics,"Rugby Sevens, Women",United States,3,Bronze,Kristi Kirshe,147206,USA,Rugby Sevens ( Rugby ),
2024 Summer Olympics,"Windsurfer, Men",,9,,Noah Lyons,154065,USA,Sailing,
2024 Summer Olympics,"Skiff, Men",Hans Henken,3,Bronze,Ian Barrows,1303483,USA,Sailing,
2024 Summer Olympics,"Skiff, Men",Ian Barrows,3,Bronze,Hans Henken,154063,USA,Sailing,
2024 Summer Olympics,"Kiteboarding, Men",,9,,Markus Edegran,154064,USA,Sailing,
2024 Summer Olympics,"Windsurfer, Women",,22,,Dominique Stater,2506214,USA,Sailing,
2024 Summer Olympics,"One Person Dinghy, Women",,9,,Erika Reineke,154060,USA,Sailing,
2024 Summer Olympics,"Skiff, Women",Maggie Shea,10,,Stephanie Roble,147235,USA,Sailing,
2024 Summer Olympics,"Skiff, Women",Stephanie Roble,10,,Maggie Shea,147233,USA,Sailing,
2024 Summer Olympics,"Kiteboarding, Women",,4,,Daniela Moroz,154059,USA,Sailing,
2024 Summer Olympics,"Multihull, Mixed",David Liebenberg,16,,Sarah Newberry-Moore,154061,USA,Sailing,
2024 Summer Olympics,"Multihull, Mixed",Sarah Newberry-Moore,16,,David Liebenberg,154062,USA,Sailing,
2024 Summer Olympics,"Two Person Dinghy, Mixed",Lara Dallman-Weiss,13,,Stu McNay,117861,USA,Sailing,
2024 Summer Olympics,"Two Person Dinghy, Mixed",Stu McNay,13,,Lara Dallman-Weiss,147232,USA,Sailing,
2024 Summer Olympics,"Rapid-Fire Pistol, 25 metres, Men",,19,,Keith Sanderson,117348,USA,Shooting,
2024 Summer Olympics,"Rapid-Fire Pistol, 25 metres, Men",,25,,Henry Leverett,147450,USA,Shooting,
2024 Summer Olympics,"Air Rifle, 10 metres, Team, Mixed",Sagen Maddalena,18,,Ivan Roe,154240,USA,Shooting,
2024 Summer Olympics,"Air Rifle, 10 metres, Men",,34,,Ivan Roe,154240,USA,Shooting,
2024 Summer Olympics,"Small-Bore Rifle, Three Positions, 50 metres, Men",,20,,Ivan Roe,154240,USA,Shooting,
2024 Summer Olympics,"Air Rifle, 10 metres, Team, Mixed",Mary Tucker,13,,Rylan Kissell,154241,USA,Shooting,
2024 Summer Olympics,"Air Rifle, 10 metres, Men",,35,,Rylan Kissell,154241,USA,Shooting,
2024 Summer Olympics,"Small-Bore Rifle, Three Positions, 50 metres, Men",,38,,Rylan Kissell,154241,USA,Shooting,
2024 Summer Olympics,"Trap, Men",,5,,Derrick Mein,147449,USA,Shooting,
2024 Summer Olympics,"Trap, Men",,27,,Will Hinton,154242,USA,Shooting,
2024 Summer Olympics,"Skeet, Team, Mixed",Austen Smith,2,Silver,Vincent Hancock,117326,USA,Shooting,
2024 Summer Olympics,"Skeet, Men",,1,Gold,Vincent Hancock,117326,USA,Shooting,
2024 Summer Olympics,"Skeet, Team, Mixed",Dania Vizzi,6,,Conner Prince,154239,USA,Shooting,
2024 Summer Olympics,"Skeet, Men",,2,Silver,Conner Prince,154239,USA,Shooting,
2024 Summer Olympics,"Air Pistol, 10 metres, Women",,24,,Katelyn Abeln,154236,USA,Shooting,
2024 Summer Olympics,"Sporting Pistol, 25 metres, Women",,8,,Katelyn Abeln,154236,USA,Shooting,
2024 Summer Olympics,"Air Pistol, 10 metres, Women",,25,,Alexis Lagan,147236,USA,Shooting,
2024 Summer Olympics,"Sporting Pistol, 25 metres, Women",,32,,Ada Korkhin,154234,USA,Shooting,
2024 Summer Olympics,"Air Rifle, 10 metres, Team, Mixed",Ivan Roe,18,,Sagen Maddalena,147243,USA,Shooting,
2024 Summer Olympics,"Air Rifle, 10 metres, Women",,4,,Sagen Maddalena,147243,USA,Shooting,
2024 Summer Olympics,"Small-Bore Rifle, Three Positions, 50 metres, Women",,2,Silver,Sagen Maddalena,147243,USA,Shooting,
2024 Summer Olympics,"Air Rifle, 10 metres, Team, Mixed",Rylan Kissell,13,,Mary Tucker,147242,USA,Shooting,
2024 Summer Olympics,"Air Rifle, 10 metres, Women",,32,,Mary Tucker,147242,USA,Shooting,
2024 Summer Olympics,"Small-Bore Rifle, Three Positions, 50 metres, Women",,25,,Mary Tucker,147242,USA,Shooting,
2024 Summer Olympics,"Trap, Women",,16,,Ryann Phillips,154238,USA,Shooting,
2024 Summer Olympics,"Trap, Women",,18,,Rachel Tozier,154237,USA,Shooting,
2024 Summer Olympics,"Skeet, Team, Mixed",Vincent Hancock,2,Silver,Austen Smith,147239,USA,Shooting,
2024 Summer Olympics,"Skeet, Women",,3,Bronze,Austen Smith,147239,USA,Shooting,
2024 Summer Olympics,"Skeet, Team, Mixed",Conner Prince,6,,Dania Vizzi,154235,USA,Shooting,
2024 Summer Olympics,"Skeet, Women",,12,,Dania Vizzi,154235,USA,Shooting,
2024 Summer Olympics,"Street, Men",,2,Silver,Jagger Eaton,147458,USA,Skateboarding ( Roller Sports ),
2024 Summer Olympics,"Street, Men",,3,Bronze,Nyjah Huston,147460,USA,Skateboarding ( Roller Sports ),
2024 Summer Olympics,"Street, Men",,21,,Chris Joslin,154292,USA,Skateboarding ( Roller Sports ),
2024 Summer Olympics,"Park, Men",,2,Silver,Tom Schaar,154295,USA,Skateboarding ( Roller Sports ),
2024 Summer Olympics,"Park, Men",,5,,Tate Carew,154294,USA,Skateboarding ( Roller Sports ),
2024 Summer Olympics,"Park, Men",,10,,Gavin Bottger,154293,USA,Skateboarding ( Roller Sports ),
2024 Summer Olympics,"Street, Women",,5,,Poe Pinson,154290,USA,Skateboarding ( Roller Sports ),
2024 Summer Olympics,"Street, Women",,6,,Paige Heyn,154289,USA,Skateboarding ( Roller Sports ),
2024 Summer Olympics,"Street, Women",,22,,Mariah Duran,147249,USA,Skateboarding ( Roller Sports ),
2024 Summer Olympics,"Park, Women",,6,,Bryce Wettstein,147247,USA,Skateboarding ( Roller Sports ),
2024 Summer Olympics,"Park, Women",,13,,Ruby Lilley,154291,USA,Skateboarding ( Roller Sports ),
2024 Summer Olympics,"Park, Women",,19,,Minna Stess,154288,USA,Skateboarding ( Roller Sports ),
2024 Summer Olympics,"Boulder and Lead, Men",,4,,Colin Duffy,147402,USA,Sport Climbing,
2024 Summer Olympics,"Boulder and Lead, Men",,18,,Jesse Grupper,151369,USA,Sport Climbing,
2024 Summer Olympics,"Speed, Men",,3,Bronze,Sam Watson,151370,USA,Sport Climbing,
2024 Summer Olympics,"Speed, Men",,14,,Zach Hammer,151371,USA,Sport Climbing,
2024 Summer Olympics,"Boulder and Lead, Women",,2,Silver,Brooke Raboutou,147160,USA,Sport Climbing,
2024 Summer Olympics,"Boulder and Lead, Women",,11,,Natalia Grossman,151367,USA,Sport Climbing,
2024 Summer Olympics,"Speed, Women",,5,,Emma Hunt,151366,USA,Sport Climbing,
2024 Summer Olympics,"Speed, Women",,12,,Piper Kelly,151368,USA,Sport Climbing,
2024 Summer Olympics,"Shortboard, Men",,=9,,Griffin Colapinto,154327,USA,Surfing,
2024 Summer Olympics,"Shortboard, Men",,=9,,John John Florence,147462,USA,Surfing,
2024 Summer Olympics,"Shortboard, Women",,1,Gold,Caroline Marks,147264,USA,Surfing,
2024 Summer Olympics,"Shortboard, Women",,=5,,Carissa Moore,147263,USA,Surfing,
2024 Summer Olympics,"Shortboard, Women",,=9,,Caitlin Simmers,154326,USA,Surfing,
2024 Summer Olympics,"50 metres Freestyle, Men",,6,,Caeleb Dressel,136353,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Freestyle Relay, Men",United States,1,Gold,Caeleb Dressel,136353,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Medley Relay, Mixed",United States,1,Gold,Caeleb Dressel,136353,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"100 metres Butterfly, Men",,13,,Caeleb Dressel,136353,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Medley Relay, Men",United States,2,Silver,Caeleb Dressel,136353,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"50 metres Freestyle, Men",,17,,Chris Guiliano,154791,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"100 metres Freestyle, Men",,8,,Chris Guiliano,154791,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"200 metres Freestyle, Men",,19,,Chris Guiliano,154791,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Freestyle Relay, Men",United States,1,Gold,Chris Guiliano,154791,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 200 metres Freestyle Relay, Men",United States,2,Silver,Chris Guiliano,154791,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"100 metres Freestyle, Men",,7,,Jack Alexy,154794,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Freestyle Relay, Men",United States,1,Gold,Jack Alexy,154794,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Medley Relay, Men",United States,2,Silver,Jack Alexy,154794,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"200 metres Freestyle, Men",,3,Bronze,Luke Hobson,154799,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 200 metres Freestyle Relay, Men",United States,2,Silver,Luke Hobson,154799,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"400 metres Freestyle, Men",,8,,Aaron Shackell,154788,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"400 metres Freestyle, Men",,11,,Kieran Smith,147472,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 200 metres Freestyle Relay, Men",United States,2,Silver,Kieran Smith,147472,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"800 metres Freestyle, Men",,2,Silver,Bobby Finke,147477,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"1,500 metres Freestyle, Men",,1,Gold,Bobby Finke,147477,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"800 metres Freestyle, Men",,15,,Luke Whitlock,154800,USA,Swimming ( Aquatics ),
2024 Summer Olympics,Swimming ( Aquatics ),USA,,,David Johnston,154792,USA,Marathon Swimming ( Aquatics ),
2024 Summer Olympics,"1,500 metres Freestyle, Men",,18,,David Johnston,154792,USA,Marathon Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Freestyle Relay, Men",United States,1,Gold,Hunter Armstrong,147471,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"100 metres Backstroke, Men",,11,,Hunter Armstrong,147471,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Medley Relay, Men",United States,2,Silver,Hunter Armstrong,147471,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Freestyle Relay, Men",United States,1,Gold,Ryan Held,136366,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Freestyle Relay, Men",United States,1,Gold,Matt King,154802,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 200 metres Freestyle Relay, Men",United States,2,Silver,Carson Foster,154789,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"200 metres Individual Medley, Men",,4,,Carson Foster,154789,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"400 metres Individual Medley, Men",,3,Bronze,Carson Foster,154789,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 200 metres Freestyle Relay, Men",United States,2,Silver,Drew Kibler,147469,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 200 metres Freestyle Relay, Men",United States,2,Silver,Brooks Curry,147467,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 200 metres Freestyle Relay, Men",United States,2,Silver,Blake Pieroni,136352,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Medley Relay, Mixed",United States,1,Gold,Ryan Murphy,136367,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"100 metres Backstroke, Men",,3,Bronze,Ryan Murphy,136367,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"200 metres Backstroke, Men",,10,,Ryan Murphy,136367,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Medley Relay, Men",United States,2,Silver,Ryan Murphy,136367,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"200 metres Backstroke, Men",,5,,Keaton Jones,154797,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Medley Relay, Mixed",United States,1,Gold,Nic Fink,147475,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"100 metres Breaststroke, Men",,=2,Silver,Nic Fink,147475,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Medley Relay, Men",United States,2,Silver,Nic Fink,147475,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Medley Relay, Mixed",United States,1,Gold,Charlie Swanson,154790,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"100 metres Breaststroke, Men",,14,,Charlie Swanson,154790,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Medley Relay, Men",United States,2,Silver,Charlie Swanson,154790,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"200 metres Breaststroke, Men",,7,,Josh Matheny,154795,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"200 metres Breaststroke, Men",,=10,,Matt Fallon,154801,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"100 metres Butterfly, Men",,18,,Thomas Heilman,154804,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"200 metres Butterfly, Men",,10,,Thomas Heilman,154804,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Medley Relay, Men",United States,2,Silver,Thomas Heilman,154804,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"200 metres Butterfly, Men",,17,,Luca Urlando,154798,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"200 metres Individual Medley, Men",,9,,Shaine Casas,154803,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"400 metres Individual Medley, Men",,11,,Chase Kalisz,136354,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"50 metres Freestyle, Women",,4,,Gretchen Walsh,154785,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"100 metres Freestyle, Women",,8,,Gretchen Walsh,154785,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Freestyle Relay, Women",United States,2,Silver,Gretchen Walsh,154785,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"100 metres Butterfly, Women",,2,Silver,Gretchen Walsh,154785,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Medley Relay, Women",United States,1,Gold,Gretchen Walsh,154785,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Medley Relay, Mixed",United States,1,Gold,Gretchen Walsh,154785,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"50 metres Freestyle, Women",,=18,,Simone Manuel,132163,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Freestyle Relay, Women",United States,2,Silver,Simone Manuel,132163,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 200 metres Freestyle Relay, Women",United States,2,Silver,Simone Manuel,132163,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"100 metres Freestyle, Women",,2,Silver,Torri Huske,147283,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Freestyle Relay, Women",United States,2,Silver,Torri Huske,147283,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"100 metres Butterfly, Women",,1,Gold,Torri Huske,147283,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Medley Relay, Women",United States,1,Gold,Torri Huske,147283,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Medley Relay, Mixed",United States,1,Gold,Torri Huske,147283,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"200 metres Freestyle, Women",,8,,Claire Weinstein,154782,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 200 metres Freestyle Relay, Women",United States,2,Silver,Claire Weinstein,154782,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"200 metres Freestyle, Women",,9,,Erin Gemmell,154784,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 200 metres Freestyle Relay, Women",United States,2,Silver,Erin Gemmell,154784,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"400 metres Freestyle, Women",,3,Bronze,Katie Ledecky,126653,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"800 metres Freestyle, Women",,1,Gold,Katie Ledecky,126653,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"1,500 metres Freestyle, Women",,1,Gold,Katie Ledecky,126653,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 200 metres Freestyle Relay, Women",United States,2,Silver,Katie Ledecky,126653,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"400 metres Freestyle, Women",,6,,Paige Madden,147280,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"800 metres Freestyle, Women",,3,Bronze,Paige Madden,147280,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 200 metres Freestyle Relay, Women",United States,2,Silver,Paige Madden,147280,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Freestyle Relay, Women",United States,2,Silver,Kate Douglass,2506216,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"200 metres Breaststroke, Women",,1,Gold,Kate Douglass,2506216,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"200 metres Individual Medley, Women",,2,Silver,Kate Douglass,2506216,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Medley Relay, Women",United States,1,Gold,Kate Douglass,2506216,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Freestyle Relay, Women",United States,2,Silver,Abbey Weitzeil,132152,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Medley Relay, Mixed",United States,1,Gold,Abbey Weitzeil,132152,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Freestyle Relay, Women",United States,2,Silver,Erika Connolly,147275,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 200 metres Freestyle Relay, Women",United States,2,Silver,Anna Peplowski,154781,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 200 metres Freestyle Relay, Women",United States,2,Silver,Alex Shackell,154780,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"200 metres Butterfly, Women",,6,,Alex Shackell,154780,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Medley Relay, Women",United States,1,Gold,Alex Shackell,154780,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"100 metres Backstroke, Women",,2,Silver,Regan Smith,147282,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"200 metres Backstroke, Women",,2,Silver,Regan Smith,147282,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"200 metres Butterfly, Women",,2,Silver,Regan Smith,147282,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Medley Relay, Women",United States,1,Gold,Regan Smith,147282,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Medley Relay, Mixed",United States,1,Gold,Regan Smith,147282,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"100 metres Backstroke, Women",,3,Bronze,Katharine Berkoff,154786,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Medley Relay, Women",United States,1,Gold,Katharine Berkoff,154786,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"200 metres Backstroke, Women",,4,,Phoebe Bacon,147281,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"100 metres Breaststroke, Women",,=4,,Lilly King,132158,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"200 metres Breaststroke, Women",,8,,Lilly King,132158,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Medley Relay, Women",United States,1,Gold,Lilly King,132158,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"100 metres Breaststroke, Women",,=23,,Emma Weber,154783,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"4 × 100 metres Medley Relay, Women",United States,1,Gold,Emma Weber,154783,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"200 metres Individual Medley, Women",,8,,Alex Walsh,147266,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"400 metres Individual Medley, Women",,3,Bronze,Emma Weyant,147273,USA,Swimming ( Aquatics ),
2024 Summer Olympics,"Singles, Men",,=9,,Kanak Jha,136380,USA,Table Tennis,
2024 Summer Olympics,"Singles, Women",,=9,,Lily Zhang,126657,USA,Table Tennis,
2024 Summer Olympics,"Team, Women",United States,=9,,Lily Zhang,126657,USA,Table Tennis,
2024 Summer Olympics,"Singles, Women",,=17,,Amy Wang,2506224,USA,Table Tennis,
2024 Summer Olympics,"Team, Women",United States,=9,,Amy Wang,2506224,USA,Table Tennis,
2024 Summer Olympics,"Team, Women",United States,=9,,Rachel Sung,155180,USA,Table Tennis,
2024 Summer Olympics,"Welterweight, Men",,=5,,CJ Nickolas,155049,USA,Taekwondo,
2024 Summer Olympics,"Heavyweight, Men",,=9,,Jonathan Healy,155050,USA,Taekwondo,
2024 Summer Olympics,"Featherweight, Women",,=11,,Faith Dillon,155047,USA,Taekwondo,
2024 Summer Olympics,"Welterweight, Women",,=3,Bronze,Kristina Teachout,155048,USA,Taekwondo,
2024 Summer Olympics,"Singles, Men",,=5,,Tommy Paul,147484,USA,Tennis,
2024 Summer Olympics,"Doubles, Men",Taylor Fritz,3,Bronze,Tommy Paul,147484,USA,Tennis,
2024 Summer Olympics,"Singles, Men",,=9,,Taylor Fritz,154968,USA,Tennis,
2024 Summer Olympics,"Doubles, Mixed",Coco Gauff,=5,,Taylor Fritz,154968,USA,Tennis,
2024 Summer Olympics,"Doubles, Men",Tommy Paul,3,Bronze,Taylor Fritz,154968,USA,Tennis,
2024 Summer Olympics,"Singles, Men",,=33,,Marcos Giron,147482,USA,Tennis,
2024 Summer Olympics,"Singles, Men",,=33,,Chris Eubanks,154967,USA,Tennis,
2024 Summer Olympics,"Doubles, Men",Rajeev Ram,2,Silver,Austin Krajicek,147480,USA,Tennis,
2024 Summer Olympics,"Doubles, Men",Austin Krajicek,2,Silver,Rajeev Ram,136374,USA,Tennis,
2024 Summer Olympics,"Singles, Women",,=5,,Danielle Collins,154964,USA,Tennis,
2024 Summer Olympics,"Doubles, Women",Desirae Krawczyk,=9,,Danielle Collins,154964,USA,Tennis,
2024 Summer Olympics,"Singles, Women",,=9,,Coco Gauff,154963,USA,Tennis,
2024 Summer Olympics,"Doubles, Mixed",Taylor Fritz,=5,,Coco Gauff,154963,USA,Tennis,
2024 Summer Olympics,"Doubles, Women",Jessica Pegula,=9,,Coco Gauff,154963,USA,Tennis,
2024 Summer Olympics,"Singles, Women",,=9,,Emma Navarro,154966,USA,Tennis,
2024 Summer Olympics,"Singles, Women",,=17,,Jessica Pegula,147287,USA,Tennis,
2024 Summer Olympics,"Doubles, Women",Coco Gauff,=9,,Jessica Pegula,147287,USA,Tennis,
2024 Summer Olympics,"Doubles, Women",Danielle Collins,=9,,Desirae Krawczyk,154965,USA,Tennis,
2024 Summer Olympics,"Individual, Men",,10,,Aliaksei Shostak,147485,USA,Trampolining ( Gymnastics ),
2024 Summer Olympics,"Individual, Women",,13,,Jessica Stevens,152717,USA,Trampolining ( Gymnastics ),
2024 Summer Olympics,"Olympic Distance, Men",,29,,Seth Rider,2104549,USA,Triathlon,
2024 Summer Olympics,"Relay, Mixed",United States,2,Silver,Seth Rider,2104549,USA,Triathlon,
2024 Summer Olympics,"Olympic Distance, Men",,31,,Morgan Pearson,147486,USA,Triathlon,
2024 Summer Olympics,"Relay, Mixed",United States,2,Silver,Morgan Pearson,147486,USA,Triathlon,
2024 Summer Olympics,"Olympic Distance, Women",,10,,Taylor Spivey,155100,USA,Triathlon,
2024 Summer Olympics,"Relay, Mixed",United States,2,Silver,Taylor Spivey,155100,USA,Triathlon,
2024 Summer Olympics,"Olympic Distance, Women",,49,,Kirsten Kasper,155099,USA,Triathlon,
2024 Summer Olympics,"Volleyball, Men",United States,3,Bronze,Matt Anderson,126696,USA,Volleyball ( Volleyball ),
2024 Summer Olympics,"Volleyball, Men",United States,3,Bronze,Aaron Russell,136382,USA,Volleyball ( Volleyball ),
2024 Summer Olympics,"Volleyball, Men",United States,3,Bronze,Jeffrey Jendryk,155376,USA,Volleyball ( Volleyball ),
2024 Summer Olympics,"Volleyball, Men",United States,3,Bronze,TJ DeFalco,2104517,USA,Volleyball ( Volleyball ),
2024 Summer Olympics,"Volleyball, Men",United States,3,Bronze,Micah Christenson,136386,USA,Volleyball ( Volleyball ),
2024 Summer Olympics,"Volleyball, Men",United States,3,Bronze,Max Holt,136385,USA,Volleyball ( Volleyball ),
2024 Summer Olympics,"Volleyball, Men",United States,3,Bronze,Micah Ma'a,155377,USA,Volleyball ( Volleyball ),
2024 Summer Olympics,"Volleyball, Men",United States,3,Bronze,Tom Jaeschke,136389,USA,Volleyball ( Volleyball ),
2024 Summer Olympics,"Volleyball, Men",United States,3,Bronze,Garrett Muagututia,147489,USA,Volleyball ( Volleyball ),
